word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	202	Sensory
1	190	243	202	345	processing
2	190	243	345	462	disorder
3	190	243	462	501	is
4	190	243	501	527	a
5	190	243	527	657	condition
6	190	243	657	722	that
7	190	243	722	826	affects
8	190	243	826	878	the
9	190	243	878	982	brain's
10	190	243	982	1086	ability
11	190	243	1086	1129	to
12	243	293	95	202	process
13	243	293	202	306	sensory
14	243	293	306	475	information,
15	243	293	475	553	which
16	243	293	553	605	can
17	243	293	605	696	impact
18	243	293	696	787	memory
19	243	293	787	839	and
20	243	293	839	969	cognitive
21	243	293	969	1112	functions.
22	243	293	1112	1155	It
23	293	343	95	137	is
24	293	343	137	228	caused
25	293	343	228	267	by
26	293	343	267	423	dysfunction
27	293	343	423	462	in
28	293	343	462	514	the
29	293	343	514	631	midbrain
30	293	343	631	683	and
31	293	343	683	787	nervous
32	293	343	787	891	system,
33	293	343	891	969	which
34	293	343	969	1021	can
35	293	343	1021	1086	lead
36	293	343	1086	1129	to
37	343	396	95	267	difficulties
38	343	396	267	306	in
39	343	396	306	449	processing
40	343	396	449	501	and
41	343	396	501	644	responding
42	343	396	644	683	to
43	343	396	683	787	sensory
44	343	396	787	908	stimuli.
