word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	215	Climbers
1	190	243	215	267	use
2	190	243	267	397	different
3	190	243	397	475	types
4	190	243	475	514	of
5	190	243	514	644	harnesses
6	190	243	644	722	based
7	190	243	722	761	on
8	190	243	761	839	their
9	190	243	839	956	climbing
10	190	243	956	1034	style
11	190	243	1034	1086	and
12	190	243	1086	1142	the
13	243	293	95	215	specific
14	243	293	215	371	conditions.
15	243	293	371	449	Sport
16	243	293	449	566	climbers
17	243	293	566	657	prefer
18	243	293	657	826	minimalistic
19	243	293	826	956	harnesses
20	243	293	956	1021	with
21	243	293	1021	1090	gear
22	293	343	95	189	loops,
23	293	343	189	280	alpine
24	293	343	280	397	climbers
25	293	343	397	488	select
26	293	343	488	644	lightweight
27	293	343	644	774	harnesses
28	293	343	774	839	that
29	293	343	839	891	can
30	293	343	891	930	be
31	293	343	930	1021	easily
32	293	343	1021	1142	removed,
33	343	393	95	150	and
34	343	393	150	202	big
35	343	393	202	267	wall
36	343	393	267	384	climbers
37	343	393	384	436	opt
38	343	393	436	488	for
39	343	393	488	579	padded
40	343	393	579	722	harnesses.
41	343	393	722	826	Special
42	343	393	826	956	harnesses
43	343	393	956	1008	are
44	343	393	1008	1129	designed
45	393	443	95	150	for
46	393	443	150	215	kids
47	393	443	215	267	and
48	393	443	267	345	those
49	393	443	345	462	carrying
50	393	443	462	540	heavy
51	393	443	540	618	loads
52	393	443	618	657	or
53	393	443	657	735	those
54	393	443	735	774	at
55	393	443	774	839	risk
56	393	443	839	878	of
57	393	443	878	1021	inverting.
58	393	443	1021	1099	Chest
59	393	443	1099	1155	and
60	443	493	95	150	sit
61	443	493	150	280	harnesses
62	443	493	280	332	are
63	443	493	332	397	also
64	443	493	397	527	available
65	443	493	527	592	with
66	443	493	592	696	similar
67	443	493	696	787	safety
68	443	493	787	917	benefits.
69	443	493	917	1008	Caving
70	443	493	1008	1064	and
71	493	543	95	228	canyoning
72	493	543	228	358	harnesses
73	493	543	358	410	are
74	493	543	410	475	made
75	493	543	475	514	of
76	493	543	514	618	durable
77	493	543	618	748	materials
78	493	543	748	800	and
79	493	543	800	904	feature
80	493	543	904	1064	specialized
81	543	593	95	254	attachments
82	543	593	254	306	for
83	543	593	306	384	those
84	543	593	384	544	activities.
