word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	228	Character
1	190	243	228	267	A:
2	190	243	267	293	I
3	190	243	293	358	just
4	190	243	358	436	can't
5	190	243	436	579	understand
6	190	243	579	631	why
7	190	243	631	722	people
8	190	243	722	774	are
9	190	243	774	813	so
10	190	243	813	956	passionate
11	190	243	956	1034	about
12	190	243	1034	1103	this
13	243	293	95	189	issue.
14	243	293	189	254	It's
15	243	293	254	319	just
16	243	293	319	345	a
17	243	293	345	436	matter
18	243	293	436	475	of
19	243	293	475	592	personal
20	243	293	592	700	choice.
21	293	343	95	228	Character
22	293	343	228	267	B:
23	293	343	267	319	But
24	293	343	319	384	it's
25	293	343	384	436	not
26	293	343	436	501	just
27	293	343	501	579	about
28	293	343	579	696	personal
29	293	343	696	800	choice.
30	293	343	800	865	It's
31	293	343	865	943	about
32	293	343	943	995	the
33	293	343	995	1099	greater
34	293	343	1099	1168	good
35	343	393	95	150	and
36	343	393	150	202	the
37	343	393	202	293	impact
38	343	393	293	345	our
39	343	393	345	475	decisions
40	343	393	475	540	have
41	343	393	540	579	on
42	343	393	579	683	society
43	343	393	683	722	as
44	343	393	722	748	a
45	343	393	748	843	whole.
46	393	443	95	228	Character
47	393	443	228	267	A:
48	393	443	267	293	I
49	393	443	293	371	think
50	393	443	371	462	you're
51	393	443	462	540	being
52	393	443	540	592	too
53	393	443	592	748	idealistic.
54	393	443	748	787	We
55	393	443	787	852	live
56	393	443	852	891	in
57	393	443	891	917	a
58	393	443	917	995	world
59	393	443	995	1077	where
60	443	493	95	241	individual
61	443	493	241	345	freedom
62	443	493	345	384	is
63	443	493	384	475	highly
64	443	493	475	579	valued.
65	443	493	579	618	If
66	443	493	618	722	someone
67	443	493	722	800	wants
68	443	493	800	839	to
69	443	493	839	904	make
70	443	493	904	930	a
71	443	493	930	1021	choice
72	443	493	1021	1086	that
73	443	493	1086	1168	harms
74	493	543	95	254	themselves,
75	493	543	254	319	then
76	493	543	319	410	that's
77	493	543	410	488	their
78	493	543	488	661	prerogative.
79	543	593	95	228	Character
80	543	593	228	267	B:
81	543	593	267	319	But
82	543	593	319	384	what
83	543	593	384	462	about
84	543	593	462	514	the
85	543	593	514	579	harm
86	543	593	579	644	that
87	543	593	644	735	choice
88	543	593	735	787	can
89	543	593	787	865	cause
90	543	593	865	904	to
91	543	593	904	1012	others?
