word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	150	The
1	190	243	150	202	New
2	190	243	202	267	York
3	190	243	267	332	City
4	190	243	332	423	Ballet
5	190	243	423	501	Board
6	190	243	501	540	of
7	190	243	540	670	Directors
8	190	243	670	722	has
9	190	243	722	800	taken
10	190	243	800	878	swift
11	190	243	878	969	action
12	190	243	969	1008	to
13	190	243	1008	1112	address
14	190	243	1112	1168	the
15	243	293	95	202	ongoing
16	243	293	202	293	sexual
17	243	293	293	436	harassment
18	243	293	436	592	allegations
19	243	293	592	696	against
20	243	293	696	787	ballet
21	243	293	787	878	master
22	243	293	878	917	in
23	243	293	917	995	chief
24	243	293	995	1077	Peter
25	293	343	95	215	Martins.
26	293	343	215	254	In
27	293	343	254	332	light
28	293	343	332	371	of
29	293	343	371	423	the
30	293	343	423	566	situation,
31	293	343	566	618	the
32	293	343	618	696	board
33	293	343	696	748	has
34	293	343	748	878	appointed
35	293	343	878	917	an
36	293	343	917	1021	interim
37	293	343	1021	1086	team
38	293	343	1086	1129	to
39	343	393	95	202	oversee
40	343	393	202	254	the
41	343	393	254	371	artistic
42	343	393	371	475	aspects
43	343	393	475	514	of
44	343	393	514	566	the
45	343	393	566	670	company
46	343	393	670	761	during
47	343	393	761	878	Martins'
48	343	393	878	956	leave
49	343	393	956	995	of
50	343	393	995	1112	absence.
51	343	393	1112	1168	The
52	393	443	95	202	interim
53	393	443	202	267	team
54	393	443	267	332	will
55	393	443	332	397	work
56	393	443	397	501	closely
57	393	443	501	566	with
58	393	443	566	618	the
59	393	443	618	748	company's
60	393	443	748	865	artistic
61	393	443	865	995	director,
62	393	443	995	1047	who
63	393	443	1047	1116	will
64	443	493	95	215	continue
65	443	493	215	254	to
66	443	493	254	319	lead
67	443	493	319	371	the
68	443	493	371	501	company's
69	443	493	501	618	artistic
70	443	493	618	709	vision
71	443	493	709	761	and
72	443	493	761	930	programming.
73	443	493	930	982	The
74	443	493	982	1060	board
75	443	493	1060	1103	is
76	493	543	95	228	committed
77	493	543	228	267	to
78	493	543	267	384	ensuring
79	493	543	384	410	a
80	493	543	410	475	safe
81	493	543	475	527	and
82	493	543	527	670	respectful
83	493	543	670	735	work
84	493	543	735	891	environment
85	493	543	891	943	for
86	493	543	943	995	all
87	493	543	995	1129	employees
88	543	596	95	150	and
89	543	596	150	189	is
90	543	596	189	280	taking
91	543	596	280	332	all
92	543	596	332	462	necessary
93	543	596	462	540	steps
94	543	596	540	579	to
95	543	596	579	683	address
96	543	596	683	735	the
97	543	596	735	908	allegations.
