word_index	y_top	y_bottom	x_left	x_right	word
0	190	243	95	215	LinkedIn
1	190	243	215	254	is
2	190	243	254	280	a
3	190	243	280	371	social
4	190	243	371	449	media
5	190	243	449	566	platform
6	190	243	566	618	for
7	190	243	618	800	professionals
8	190	243	800	865	that
9	190	243	865	943	helps
10	190	243	943	1008	them
11	190	243	1008	1129	network,
12	243	293	95	150	job
13	243	293	150	254	search,
14	243	293	254	306	and
15	243	293	306	423	showcase
16	243	293	423	501	their
17	243	293	501	605	skills.
18	243	293	605	644	It
19	243	293	644	696	has
20	243	293	696	761	over
21	243	293	761	813	900
22	243	293	813	917	million
23	243	293	917	995	users
24	243	293	995	1060	from
25	243	293	1060	1116	200
26	293	346	95	228	countries
27	293	346	228	280	and
28	293	346	280	449	territories,
29	293	346	449	501	and
30	293	346	501	540	it
31	293	346	540	579	is
32	293	346	579	657	owned
33	293	346	657	696	by
34	293	346	696	843	Microsoft.
